UID	PID	PPID	LWP	C	NLWP	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND
root	191	2	191	0	1	0.2	0.0	0	0	?	I	12:10	0:00	[kworker/8:1-mm_percpu_wq]
root	201	2	201	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/u65:0-rtw89_tx_wq]
root	207	2	207	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/0:2-events]
root	208	2	208	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/0:3-events]
root	272	2	272	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/0:1H-i915_cleanup]
root	274	2	274	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/12:1H-kblockd]
root	275	2	275	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/4:1H-kblockd]
root	314	2	314	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/15:1H-i915_cleanup]
root	318	2	318	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/8:1H-i915_cleanup]
root	319	2	319	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/10:1H-i915_cleanup]
root	322	2	322	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/6:1H-kblockd]
root	324	2	324	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/14:1H-i915_cleanup]
root	351	2	351	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/15:2-events]
root	364	2	364	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/2:2-i915-unordered]
root	387	2	387	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/2:3-events]
root	390	2	390	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/2:4-events]
root	443	2	443	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/10:2-events]
root	445	2	445	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/1:1H-kblockd]
root	460	2	460	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/3:1H-kblockd]
root	490	2	490	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/5:1H-kblockd]
root	491	2	491	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/11:1H-kblockd]
root	492	2	492	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/7:1H-i915_cleanup]
root	493	2	493	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/9:1H-kblockd]
root	497	2	497	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/7:1-events]
root	498	2	498	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/7:2-i915-unordered]
root	508	2	508	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[irq/133-ELAN06FA:00]
root	509	2	509	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/6:2-i915-unordered]
root	511	2	511	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/9:1-mm_percpu_wq]
root	512	2	512	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-nvme-wq]
root	513	2	513	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-nvme-reset-wq]
root	514	2	514	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-nvme-delete-wq]
root	515	2	515	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-nvme-auth-wq]
root	516	2	516	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/9:2-mm_percpu_wq]
root	517	2	517	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/11:1-events]
root	518	2	518	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-USBC000:00-con1]
root	530	2	530	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-worker]
root	531	2	531	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-delalloc]
root	532	2	532	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-flush_delalloc]
root	533	2	533	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-cache]
root	534	2	534	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-fixup]
root	535	2	535	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-endio]
root	536	2	536	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-endio-meta]
root	537	2	537	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-rmw]
root	538	2	538	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-endio-write]
root	539	2	539	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-compressed-write]
root	540	2	540	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-freespace-write]
root	541	2	541	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-delayed-meta]
root	542	2	542	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-btrfs-qgroup-rescan]
root	543	2	543	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[btrfs-cleaner]
root	544	2	544	0	1	0.1	0.0	0	0	?	S	12:10	0:00	[btrfs-transaction]
root	570	2	570	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-ttm]
root	571	2	571	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[card1-crtc0]
root	572	2	572	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[card1-crtc1]
root	573	2	573	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[card1-crtc2]
root	574	2	574	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[card1-crtc3]
